tags,texts
National Geographic фото foto шедевр искусство,"
Комментарии излишни…
Наслаждайтесь шедеврами!"
игры игровая индустрия хит-парад рейтинги топ top rating gam,"Есть подозрение, что приведенный ниже годовой рейтинг продаж PC-игр в России является сегодня самым объективным из всех открыто публикуемых. Издатели традиционно применяют его в оценке своего положения на рынке. В этом году мы прямо указали каждому его место с точностью до 1%.«Откуда инфа?»
От одного из крупнейших региональных дистрибьюторов. Продавая более 1 миллиона лицензионных дисков в год в девяти субъектах РФ, мы попутно ведем нехитрый мониторинг рынка. Итак...Десятка самых продаваемых PC-игр в 2006 г.
Рейтинг выстроен по общему количеству проданных копий с момента выхода игры. Темно-серым на диаграмме выделена доля продаж в первые 2 недели после выхода.


1.
Герои Меча и Магии V (Nival)



2.
Принц Персии: Два трона (Акелла)



3.
Lada Racing Club (Новый Диск)



4.
The Elder Scrolls IV: Oblivion (1С)



5.
В тылу врага 2 (1С)



6.
Готика 3 (GFi/Руссобит-М)



7.
Titan Quest (Бука)



8.
FlatOut 2 (Бука)



9.
Prey (1С)



10.
SpellForce 2: Shadow Wars (GFi/Руссобит-М)


Примечания:
1. Первое, третье, пятое и девятое места заняли игры, созданные российскими разработчиками. Остальные являются локализованными версиями.
2. Кстати, по данным компании-разработчика Gelios Media, опубликованным на DTF, суммарные продажи игры Lada Racing Club в России и ближнем зарубежье на начало декабря достигли 300 тыс. лицензионных копий. (Заинтересованные лица могут составить несложные пропорции.)

Структура рынка PC-игр и домашних программ для ПК
Доли издателей в суммарной денежной выручке за 2006 г.Топ-10 российских издателей (в скобках изменения относительно рейтинга 2005 г.)

1.

 1С
26%


2.

 Новый Диск
23% (+7%)


3.
↑2
 Бука
12% (+2%)


4.

 Акелла
11%


5.
↓2
 Руссобит-М
10% (-6%)


6.

 Софтклаб*
6% (+1%)


7.

 Nival Interactive
4% (+4%)


8.

 ИДДК
2% (-2%)


9.
↓2
 МедиаХауз
2% (-2%)


10.
↓1
 Медиа2000
1% (-2%)

Примечание:
* Строго говоря, компания Софтклаб является не издателем, а эксклюзивным имоптером и/или дистрибьютором продукции некоторых западных лейблов (так, в зачет Софтклаба идут локализованные игры Electronic Arts)

Выводы
Уже сделаны."
хабрахабр новый год,"Совсем скоро мы сядем за праздничные столы, уже отовсюду слышны перезвоны корпоративных вечеринок ;-) поэтому решил здесь и сейчас (чтобы мог присоединиться хабраюзер с любой кармой) поздравить всю команду Хабрахабра!!!

Принимайте поздравления и пожелания:
! реализовать всё, что записано в ту-ду-листе на предстоящий год
! больше Хабраюзеров, активных и разных
! и конечно широ-о-о-кой реки рекламных финансов



Три-четыре… Хабрахабр, С НОВЫМ ГОДОМ !!!"
web реклама баннеры ajax,"В общем, наткнулся я однажды на одну очень интересную библиотеку от Дмитрия Котерова, позволяющую без головной боли динамически подгружать данные на страницу, и всё завертелось...


Хочу немного развернуть свой комментарий к посту Статистика для Веб 2.0 относительно идеи продажи рекламного времени, вместо продажи рекламных показов на своём сайте.

Идея продажи именно рекламного времени витала в неоформленом виде где-то около моей головы уже давно, но сегодня, из за присущего мне врождённого чувства противоречия всему и вся, идея стала-таки более осязаема и перебралась непосредственно в мою голову.

Итак. Что тут у нас? Бравый солдат Ajax тут у нас и реклама у нас тут-же.
Что нам с этим можно сделать толкового? А можно написать пару скриптов, где JS просто напросто будет через заданный интервал времени обращаться к PHP-подгрузчику за новой порцией кода и новым таймаутом, вставлять код в отведённое место и через вновь установленный таймаут повторять операцию.
«Порцией кода» будет оформленный код рекламного баннера (хоть текст, хоть gif, хоть flash). «Новым таймаутом» будет новый таймаут для JS.

Таким образом вся работа по обсчёту рекламного времени, определению очерёдности вывода рекламы и снятия статистики ложится на плечи PHP. Это значит, что можно организовать вменяемую статистику по времени просмотра рекламы и по количеству прокруток.

Осталось только придумать, какими словами донести до рекламодателей идею о том что «Наш сайт как телеканал! Это супер-пупер современно. И мы не возьмём с вас ни одной лишней копейки. Вы оплачиваете ровно 100 часов трансляции вашей рекламы.»
"
C linux линукс Open source корпоративные решения,"
27 декабря компания 1С объявила о выходе версии 8.1 платформы «1С: Предприятие», работающей под управлением ОС Линукс. Под линуксом может работать два звена из трех: сервер кластера и сервер баз данных, на котором в качестве СУБД теперь можно использовать PostgreSQL. Клиент по прежнему работает только под Windows, НО его поддержка будет добавлена в WINE@Etersoft 1.0.6, выпуск которого запланирован в феврале 2007 года.

В линукс сообществе это событие вызвало разного окраса комментарии, но мне кажется, что нельзя отрицать его важности: это очень серьезный шаг, который демонстрирует гигантские сдвиги в головах принимающих подобные решения людей. С практической стороны дела судить еще рановато — теперь надо посмотреть, как все это взлетит. Однако перспективы плюшек, полученных от внедрения такой системы видятся достаточно радужные."
СМИ Московский комсомолец Хабрахабр хабрасистема,"На сайте газеты «Московский Комсомолец» запустили бета-версию хабраподобной системы. То есть материалы на сайте размещают профессиональные журналисты и обычные читатели, которым есть чем поделиться, формируя на ходу газетный номер.



Выглядит новый МК, как и все последние работы Студии Артемия Лебедева, абсолютно некрасиво, но сделан по всем правилам социального СМИ."
компании хабрахабр рекомендации список пользователи кнопка,"при просмотре списка людей, которые рекомендуют компанию, добавить кнопку — я тоже рекомендую эту компанию (http://www.habrahabr.ru/company/recommendations/im/50/)

мне кажется это дополнение будет уместно и удобно"
Google Blogger Picasa,"Пополняя свой блог на Блоггере очередным постом, решил загрузить картинку. В открывшемся окошке справа от кнопки Upload Image появилось место для «галочки», поставив которую, я соглашусь с правилами использования Picasa (!).

Ссылка рядом с «галочкой» ведёт на английскую версию TOS Пикасы. Открыв Picasa Web Albums, я нашёл ссылку на TOS, однако на русском (там про Blogger ни слова, более того — сказано, что основной является англоязычная версия, но ссылка опять ведёт на русскоязычную). Полазил по своим веб-альбомам — загруженного в блог изображения в них не появилось.

К сожалению, не догадался сделать скриншот, а в следующий раз эта галочка уже не появилась. Впрочем, кто использует Blogger, могут попробовать проверить это сами.

Возникли риторические вопросы:
 — почему нужно принять TOS Picasa, если src картинки всё равно остаётся блаблабла.blogger.com?
 — почему загруженной картинки не видно в веб-альбомах?
 — правильно получается, что раз я принимаю TOS Picasa, то буду тратить 250 мб, выделенные под веб-альбомы?"
Google Google BlogSearch Technorati Hitwise поиск по блогам,"Аналитик Hitwise Ли-Энн Прескотт опубликовала интересные статистические данные. На прошлой неделе, по данным компании, посещаемость поиска по блогам от Google превысила посещаемость Technorati (среди пользователей из США).



Основным фактором, повлиявшим на посещаемость BlogSearch стало то, что в октябре в Google News появилась ссылка на этот поисковик. В результате доля «гуглопоиска по блогам» на поисковом рынке выросла на 168%. 60% трафика на него идёт именно с Google News.

На прошлой неделе посещаемость Google BlogSearch впервые превысила аналогичные показатели Technorati. При этом, отмечает Прескотт, доля трафика с Google News снизилась.

Вообще, как показывает статистика, Google не зря использует продвижение тех или иных продуктов на страницах результатов поиска. Нынешний пример — ещё одно тому доказательство. Конечно, результаты Hitwise нельзя назвать 100%-точными, однако в целом — стоит задуматься."
Microsoft Windows Vista блогосфера подарок ноутбуки,"История про разосланные блоггерам ноутбуки получила продолжение.

Изначально в письме, приложенным к ноуту говорилось, что когда осчастливленный блоггер закончит играться с ноутбуком, он может отправить его назад в Microsoft, отдать сообществу, или оставить себе. В общем — делать с ним всё, что пожелает.

Один из одаренных блоггеров, Маршалл Киркпатрик, получил ещё одно письмо, в котором было сказано о том, что ноутбук был выдан ему лишь для написания обзора, после чего он должен отправить его назад Microsoft.

Публика в недоумении."
Google Gmail почта уязвимость,"19 декабря в Google Groups некто запостил сообщение о том, что его аккаунт полностью очистился. К разговору подключились другие пользователи, которые сказали, что такая же история приключилась и с ними.

Многие заметили, что пользователи Firefox 2.0, а в момент очистки почтового ящика, их браузер был открыт как раз на gmail.com.

Причина проблемы не ясна. Один из пострадавших утверждает, что сразу после удаления почты он получил письмо, в котором говорилось: « Это не ошибка. Вся ваша почта с контактами были специально удалены. Это атака, а не ошибка. Удачного дня. =)» Другой пользователь указал на уязвимость в Firefox 2.0, которую устранили в Firefox 2.0.0.1

22 декабря, через 4 дня после трагедии, представитель Google оставил сообщение в ветке форума:
Спасибо всем за то, что дали знать о проблеме. Мы приносим свои извинения. В настоящий момент мы разбираемся в проблеме и дадим знать каждому пользователю из этой ветки о результатах.


Кстати, по официальной политике Google, удалённая почта восстановлению не подлежит.

Взято отсюда"
miranda im miranda im миранда релиз общение,"Не прошло и полгода, как вышла в свет новая официальная стабильная версия Миранды.
Основным достоинством по моему мнению должен был стать новый движок базы, но к сожалению он был не включен в релиз. Пока что он доступен в тест билдах версии 0.7 (последняя версия).
Скачать новую версию можно на официальном сайте.

Про нововведения:

Поддержка UPnP — для улучшения прямых соединений между клиентами;
улучшена поддержка юникода;
улучшена поддержка табов (вкладок);
ну и конечно же многочисленные багфиксы.
Ставим, радуемся и ждем релиз версии 0.7, которая несет нам много нового :)

P.S. Когда скачивал заметил редизайн SourceForge: стало намного лучше и современней :)
"
web идея стимуляция пользователей сообщества блоги блогосфер,"Я уже успел заметить, что здесь — на Хабрахабре есть серъёзные критики, способные более или менее мотивированно определять жизнеспособность идей. Потому хочу отдать свою идею на тест-драйв по пересеченной местности ваших мнений.

Идея заключается в следующем:
Пользователь не получает некие возможности (собственные посты в блогах, колонках и т.д.) по достижении определённого уровня кармы, а непосредственно оплачивает эти возможности, расходуя некую условную валюту, зарабатываемую на сайте.
Т.Е. захотел написать пост — будь любезен потрать одну единицу валюты. Захотел создать новый блог — потрать, скажем, 100 единиц. Захотел ещё чего-нибудь эдакого — снова будь любезен оплатить.

Как зарабатывается валюта:
Пополняется счёт при «положительном» голосовании за ваше творение. Будь то запись в блоге, либо комментарий. Причём голосующий не будет расходовать свою валюту, отдавая голос. Можно даже реализовать степень «ликвидности» валютных единиц в зависимости от уровня кармы голосующего. Т.Е. если за ваш пост проголосовал человек с высоким уровнем кармы, на счёт ваш падает не 1 единица, а скажем 1 + некий коэффициент уровня кармы проголосовавшего. Таким образом, чем более компетентный (ведь карма не с пустого места берётся) пользователь проголосовал «за», тем больше валюты просыпалось на вас, что простимулирует ваши возможности продолжать в том-же духе.

Зачем это может быть нужно:
На мой взгляд, такое нововведение(?) должно положительно сказаться на качестве контента, конструктивности комментариев и степени адекватности поведения членов сообщества.

P.S.
Добавив возможность передачи валюты другим пользователям, можно наверняка будет увидеть такое явление, как увеличение количества регулярно обновляемых блогов на различные темы.
"
Google PhraseRank PageRank,"Компания Google запатентовала новый алгоритм PhraseRank, который позволит не только бороться с поисковым спамом, но и автоматически определять сайты, не содержащие полезный контент, и созданные исключительно с целью заработка.

Новый патент уже опубликован, и по мнению представителей Google сможет эффективно защитить результаты поиска от недоброкачественного контента. 

Алгоритм PhraseRank позволит Google связать основные фразы, определяющие смысл документа, и, оценивая частоту этих фраз по сравнению с эталонной, делать выводы о качестве любого текста. Совершенно очевидно, что все документы, в которых будут обнаружены отклонения, будут помечены поисковиком как подозрительные и не будут участвовать в основном поиске.

По-видимому, PhraseRank будет работать одновременно с PageRank'ом, причем первый алгоритм будет отвечать за внутренние факторы ранжирования, а второй — за внешние. Если Google все-таки решится внедрить этот алгоритм в свой поиск, нас ждет глобальное перераспределение мирового поискового трафика."
идеи цитаты,"Среди обилия комментариев к хабразаписям нередко встречаются фразы, рожденные стать крылатыми. Чего только стоят вот эти два высказывания:

«Вот просто интересно, чего ты добился, чтобы такие комменты писать? Ты что копирайтер или журналист такой важный?!?»

или: 

«Кто угодно должен стремиться быть лучше Лёхи!»

Было бы здорово для такого нового явления как хабрацитаты создать отдельный раздел на сайте. По своей структуре он может напоминать блоги, но чуть модифицированные под формат цитат — где заголовок, например, не обязателен.

Какие будут мнения?"
Бегун Apple iPod begunPod,"
"
Firefox ScribeFire плагин блогосфера,"Популярный плагин Performancing, позволяющий непосредственно из браузера писать посты в свой блог, переименован в ScribeFire. Как известно, этот плагин не был включён в сделку по продаже сервиса Performancing компании PayPerPost.

У плагина появился отдельный сайт, который официально откроется после новогодних праздников. А пока старую версию плагина можно скачать с сайта дополнений для Firefox."
qip im день рождения новый год колбаса,"Последние несколько дней популярны IM QIP реально «колбасит» и веселит своих пользователей.
Если в настройках указано «сообщать о днях рождения», то при запуске «вываливаются» куча окошек с напоминаниями (см. картинку). У меня в контактах, как оказалось, 35 человек которым уже более 100 лет ;)
Вся беда, судя по сообщениям на официальном форуме происходит с контактами, у которых дата рождения не указана. Новой версии пока нет, но можно просто отключить напоминания.
ps. Я не отключил — весело ;)"
криптография ключи Киплинг послушивание аутентификация довер,"Если вы интересуетесь криптографией — рекомендуем почитать, хотябы первые двадцать страниц. Там можно встретить такие методы и явления как шпионаж, аутентификация, отказ в обслуживании, имперсонализация, сокрытие данных, маскарадинг, аутентификация на основе ролей(а также ad-hoc аутентификация), подслушивание и систему доверия основанной на целосности данных. А почитав дальше, можно также увидеть планирование защиты от краж и криптографию со сменой ключей.

Почитать можно тут (626k)

Подслушано отсюда"
Google взлом пароль кривые руки уязвимость,"В обсуждении недавно опубликованной  мною ccылки на поиск по коду, сожержащему пароли доступа к MySQL базам промелькнула ещё одна интересная ссылка.


Некто Джонни оказывается ведёт целый каталог подобных ссылок, именуемый Google Hacking Database (GHDB). Там же представлена книжка по использованию возможностей Google. Просто праздник какой-то :)"
apple стив джобс,"Специальный коммитет, созданный советом директоров Apple, отправил письмо в Коммисию по ценным бумагам, в котором сказано, что расследование «не обнаружило следов преступлений в работе высшего руководства компании», <a href=""«www.businessweek.com/technology/content/dec2006/tc20061229_617639.htm?chan=top+news_top+news+index_top+story>сообщает BusinessWeek.

Напомню, что скандал разгорелся из-за того, что Джобс подозревался в махинациях с предоставлениями опционов на покупку акций Apple. В письме указывается, что он действительно рекомендовал выдавать опционы с более удобными датами, однако личной выгоды от этого не получал."
 предсказание CMS Google Answers Mini Appliance,"Следуя моде давать прогнозы на грядущий год, выскажу предположение, что если не в следующем, то скоро появится новый стандарт сайта компании, где вместо уже привычной заглавной страницы с иерархическим меню самого различного покроя, появится google-like интерфейс — заглавная страница будет содержать “визитку” компании плюс строку ввода поисковика по всему объёму предоставлемой информации. Кстати, компания Google уже выпустила пакет Google Apps for Domain для содания своего “google.com”, оталось интегрировать это с Google Appliance или Google Mini, плюс желательно возродить Google Answers в локальном варианте (типа Google Answers Mini) и прототип CMS нового поколения будет готов.

Крупные компании уже давно могут предложить гораздо больше информации потенциальному клиенту о своих товарах и услугах, нежели можно удобно эти данные расположить в иерархических меню, да ещё так, чтобы пользователь разобрался со структурой с первого захода. А так будет всем “интуитивно понятный” интерфейс поисковой строки.

Конечно, строка поиска стандартно присутствует почти на каждом сайте, но зачатую на отшибе в правом вернем углу и зачастую чисто наминально, ибо возможности поиска, “зашитые” в некоторые CMS, весьма куцые. А будет наоборот — строка поиска будет в центре внимания и самым крупным объектом на странице, а меню станет вспомогательным инструментом и будет меняться в зависимости от того, что ищет пользователь, позволяя быстрее ориентироваться в полученых результатах или уточнять запросы в один/два клика."
современное искусство реклама тенденции,"Текст, на который я сошлюсь в этой записи, называется «Из лягушек в принцессы» и посвящён одному из актуальных для нынешнего состояния искусства вопросов — стиранию границ между рекламой и искусством (как раз об этом я кратко упоминал в заметке про Luminescene немного раньше). 

Цитирую лид материала и за сим прощаюсь: «Всё более явно стираются границы между рекламным роликом как чисто коммерческим продуктом и собственно visual art. Реклама превратилась в искусство». Автор статьи — некто Ink. Приятного прочтения!

Если вам будет не удержаться от комментариев типа «Ну какой бред!» или «Я категорически не согласен!», пишите их лучше не под оригиналом статьи, а в этом хабратопике. И автора напрасно не обидим, и на тему современного искусства подискутируем — здесь это только приветствуется."
Википедия блогосфера статистика,"Агентство Nielsen BuzzMetrics опубликовало статистику статей анлоязычной Википедии, особо популярных среди блоггеров. Статистика включает данные с 1 января по 10 декабря 2006 года.

1. Web 2.0 — 206
2. Steve Irvin — 161
3. Mark Foley Scandal — 142
4. Blog — 147
5. Ajax — 133
6. World War II — 143
7. Snakes on a Plane — 126
8. Meme — 132
9. Wiki — 129
10. RSS — 122
11. Podcasting — 127
12. George Bush — 129
13. Podcast — 111
14. Net Neutrality — 100"
hanrhabr поиск,"Если это веб 2.0 проект, то сделайте подстветку найденного слова в результатах. 
А то нашел, и не видишь в каком конкретно месте."
habrahabr комметарии,"Еще одна идейка для хабра.
Нигде не могу найти информацию, о том, сколько комментариев добавилось с моего последнего сообщения.
Возможно сделать это панели пользователя в разделе комментариев.
И вообще, где показывается список комментариев, в скобках писать количество новых."
хабрхабр,"Друзья!
Во-первых, хотелось бы поздравить вас с наступающим (а, судя по развесёлым комментариям, кое где уже наступившим) Новым Годом! 
Во-вторых, появилась мысль, которую я больше не могу держать в себе. Итак, докладываю: у хабра один из самых замечательных логотипов, из тех, которые я встречал в 2006 году, а это вам не шуточки — я постоянно шляюсь по каким-нибудь сайтам. Если возражений нет, то возникает резонный вопрос: почему бы не сделать линию хабраодежды (хабрафутболок) с вкраплением магической синей штуковины? Внутренний голос говорит, что этот товар имел бы спрос у хаброидов, а не доверять своему внутреннему голосу у меня причин нет.
На этом у меня всё."
microformats микроформаты rel-license rel-nofollow VoteLinks,"Начав публикацию материалов о микроформатах, я столкнулся с тем, что люди не вполне понимали их назначение (сказывается недостаток информации на русском языке). Размещённый под катом перевод призван внести ясность в головы тех, кто интересуется микроформатами. Харизматичная американка Молли Хольцшлаг наглядно рассказала о том, что, как и зачем. Всё действительно просто.

И с наступающим Новым годом вас, дорогие друзья! Надеюсь, что в 2007 году Рунет не окажется за бортом µf-движения :-)



Microformats: Understanding Elemental Microformats

Автор: Молли Хольцшлаг (Molly Holzschlag)
Перевод: 31.12.2006 Максим Россомахин, Ефим Карелин.

Помните детские годы, когда вы забавлялись, играя с кубиками? Одной из самых приятных забав моего детства было играть с братьями, выясняя, кто же сможет построить самую-самую большую, высоченную и клёвейшую башню из всех. Повзрослев, мы играли в игру «Jenga» (которая знакома многим американским читателям), где были всё те же кубики со всё той же основной идеей.

Вспомнив о тех башнях, что мы строили из кубиков или играя в «Jenga», легко увидеть главное: башни строились из отдельных элементов, каждый из которых имел своё назначение. Комбинируя их, можно было создать множество различных конфигураций. Схожая метафора справедлива для кирпича и кирпичной постройки. Кирпич имеет индивидуальные свойства и важную роль в общей целостности здания, но он так же самодостаточен и сам по себе.

Дабы развеять все неясности, связанные с пониманием сути микроформатов, важно избавиться от сложных определений, описав микроформаты нормальным человеческим языком. Лучшая из придуманных мной метафор такова: микроформаты представляют собой кубики или кирпичи, из которых можно собрать более сложные конструкции, известные как составные микроформаты (compound microformats).

В этой статье я рассмотрю наиболее популярные и хорошо внедрённые «кубики», известные как элементарные микроформаты (elemental microformats). Каждый имеет особое предназначение: например, описание межличностных отношений, условий лицензирования контента, и т.п. Новичок, заинтересовавшийся работой с составными микроформатами, но не изучивший прежде суть элементарных микроформатов, может быть обескуражен.

Примечание

Дополнительную информацию о микроформатах ищите на официальном сайте. Материалы, размещённые в Wiki официального сайта, содержат полезную информацию обо всех актуальных спецификациях для всех существующих в настоящее время микрофрматов.

Creative Commons и микроформат rel-license

Многие из читателей знакомы с Creative Commons, однако для тех, кто не в курсе дела, поясню: проект Creative Commons, официально открытый в 2001 году его основателем Лоуренсом Лессигом (адвокат и публицист, посвятивший себя борьбе с ростом ограничений в сфере правообладания), ставит своей целью создание условий лицензирования, позволяющих правообладателям более гибко определять условия использования их контента другими лицами и организациями. Несмотря на то, что CC базируется на законодательстве и терминологии, принятых в США, принципы, заложенные в эту идею, позволяют применять её по всему миру.

Если вы пользовались фотосервисом Flickr или вели свой блог, то вы, вероятно, знакомы с различными CC-лицензиями, объединяющими в себе аспекты следующих правовых условий:

· Attribution. Иные лица имеют право копировать, распространять, демонстрировать, выполнять работу и любые производные работы при условии, что такие лица надлежащим образом приписывают авторство работы автору работы.
· Non-Commercial. Любые работы и их производные работы доступны только в некоммерческих (безвозмездных) целях. 

· No Derivative Works. Разрешается использовать любые исходные работы, но использование производных работ не разрешено.
· Share alike. Иные лица имеют право на создание производных работ от вашей работы, но такие производные работы должны распространяться на тех же лицензионных условиях, что и ваша исходная работа.

Примечание
Дополнительную информацию о Creative Commons ищите на официальном сайте.

Микроформат rel-license позволяет правообладателям назначать их контенту определённый тип CC-лицензии. Используются атрибут rel со значением license, и атрибут href, содержащий URL страницы лицензии, вот пример:

<a href=http://creativecommons.org/licenses/by-nc-sa/2.5/ rel=«license»>This material distributed under a CC attribution, non-commercial, share alike license</a>.

В настоящее время любые приложения и сервисы, поддерживающие микроформат rel-license (например, Yahoo! Search) могут индексировать не только ваш контент, но и распространяемые на него лицензии. Следовательно, любой, кто ищет ссылки на контент, подпадающий под лицензирование Creative Commons, может получить ссылки на такие материалы в результатах поиска.

Rel-nofollow: прижимаем хвост спаму в комментариях

Бесконечная жажда повышения позиции в выдаче поисковиков породила множество «чёрных» SEO-техник. Одной из них является засорение блогов, Wiki и т.п. спамерскими ссылками. Это не только раздражает, но и создаёт проблемы для легитимных ссылок.

Добавив к ссылкам в моём блоге синтаксис rel-nofollow, я могу указать поисковым ботам (Google и другие), что эти ссылки имеют нулевой вес в выдаче. Google и другие поисковики, поддерживающие работу с rel-nofollow, не последуют по этим ссылкам, и не дадут им вес в выдаче.

<a href=http://www.molly.com/comment06.php rel=«nofollow»>Я уже комментировала это.</a>

Эта ссылка будет проигнорирована поисковыми ботами, оставаясь при этом полезной для заинтересованных пользователей.

Примечание
Применение микроформата rel-nofollow не ограничивается одной лишь борьбой со спамом. Вы можете узнать больше о rel-nofollow и других вариантах его применения, посетив microformats.org/wiki/rel-nofollow.

Право голоса – людям. VoteLinks

Микроформат VoteLinks чрезвычайно интересен т.к. этот очень простой микроформат обладает огромным потенциалом. VoteLinks может быть использован при проведении более точных исследований оценки потребителями тех или иных товаров, может служить механизмом оценки популярности записей в блогах, или отслеживать реальные голосования.

· vote-for. Голос «за».
· vote-against. Голос «против.

· vote-abstain. Голос воздержавшегося.

Ниже пример того, что я могла включить в ту запись своего блога, в которой обсуждалось моё недовольство недавними выборами Президента США:

<a href=http://www.whitehouse.gov/president/ rev=»vote-against"">Я проголосовала против Дж. Буша</a>.

Примечание
Большинство тех, кто использует HTML или XHTML, знакомы с атрибутом rel, описывающим, к чему применяется содержимое данного элемента link. В общем случае атрибут rel описывает отношение данного документа к другому документу, атрибут rev описывает обратное отношение.

Указание межличностных связей с помощью XFN (XHTML Friends Network)

XFN — порождение умов Эрика Мейера (Eric Meyer, Complex Spiral Consulting), Тантека Челика (Tantek Çelik, Technorati), и Мэтта Мулленвега (Matt Mullenweg, WordPress). Идея в том, чтобы создать средства представления информации о межличностных связях, которые могут пригодиться в условиях постоянного роста числа социальных связей, во многом основанного на росте числа блогов. Поддержка XFN встроена непосредственно в WordPress, что позволяет пользователям указывать свои XFN-связи непосредственно в списках ссылок на блоги (link lists).

Связи разделены на несколько категорий, каждая из которых содержит собственный набор значений (статусов):

· Friendship (дружба). Согласно этой категории, вы можете присвоить человеку статус friend (друг), acquaintance (знакомый), или contact (контакт).

· Physical (знакомство в реальной жизни). Эта категория содержит всего один статус – met (встречались в жизни). Статус присваивается лицам, с которыми вы встречались в реальной жизни.

· Professional (профессиональная связь). Для указания профессиональных связей вам доступны два статуса — co-worker (сослуживец) и colleague (коллега).

· Geographical (географическая связь). В настоящее время XFN содержит два географических статуса: co-resident и neighbor. Статус co-resident присваивается человеку, живущему с вами на одной улице, а статус neighbor имеет более широкое значение.

· Family (семейные связи). Статусы: child (ребёнок), parent (родитель), sibling (брат или сестра), spouse (супруг), и kin (родственник). Под «супругом» понимается некто, кого вы считаете своим мужем или женой независимо от того, состоите ли вы в официальном браке, или нет.

· Romantic (романтические связи). Статусы muse (муза), crush (объект ухаживаний), date («зазноба»), и sweetheart (возлюбленный). Замечу, что музой обычно называют человека, вдохновляющего вас.

· Identity (указание на самого себя). Статус me позволяет вам указать ссылку на ваш блог, или на материалы, относящиеся непосредственно к вам.

Вот небольшой пример из моего блогролла (XFN blogroll):

<ul>

<li><a href=«tantek.com/log» rel=«friend met colleague muse»>Tantek Çelik</a></li>

<li><a href=«www.stuffandnonsense.co.uk» rel=«met colleague friend sweetheart»>Andy Clarke</a></li>

<li><a href=«www.meyerweb.com» rel=«met colleague muse»>Eric Meyer</a></li>

<li><a href=«www.photomatt.com» rel=«met colleague friend»>Matt Mullenweg</a></li>

</ul>


Легко заметить, что вы можете указывать любые возможные значения статусов, убедитесь лишь в том, что они разделены пробелами.

Примечание
Дополнительную информацию о XFN вы можете найти здесь: gmpg.org/xfn.

Таги для всего на свете

Концепция тагов – удивительный постоянно развивающийся сетевой феномен. С лёгкой руки информационного архитектора Томаса Вандерваля (Thomas Vanderwal) в обиход вошло слово «фолксономия» — термин, описывающий органичную эволюцию человеческих словарей. Если это и звучит слегка эзотерически, давайте взглянем в любой из фотоблогов Flickr-а – вы увидите, что таги повсюду. Идея в том, что люди могут использовать любые значения тагов для описания имеющегося контента, а затем этот контент может быть категоризирован вместе с тагами, присвоенными другими людьми. Чтобы лучше понять органичную природу тагов, поищите во Flickr по ключевому слову «droplet» («капля») и оцените, какие фотографии выдал поиск.

Микроформат rel-tag стал совместным детищем блоггерства, социальных сетей и поискового программного обеспечения. Пожалуй, самым лучшим примеров использования rel-tag можно считать сайт Technorati, применяющий таги для упорядочивания результатов поиска по блогам.

Вот испанская ссылка на мой сайт, касающаяся того доклада, который я делала на конференции «Fundamentos Web», проходившей в Испании. Вы видите часть сообщения в блоге, и ссылку на таг «fundamentos web»:

<p>Aunque esto no ocurre solo en España. Una experiencia similar con <a href=«www.orange.com»>Orange</a>, en Francia, nos contó <a href=«molly.com»>Molly E. Holzschlag</a> en <a href=«www.fundamentosweb.org/2006/programa/#taller»>Designing for web 2.0</a>.</p>

<p class=«tags»>Tags: <a href=«technorati.com/tag/fundamentos+web» title=«See the Technorati tag page for ’fundamentos web’.» rel=«tag»>fundamentos web</a></p>
.

Любой, кто ищет информацию об этой конференции, базируя поиск на таге «fundamentos web», найдёт среди прочих и мой блог, если же ищут меня, то смогут найти также и это упоминание обо мне. Пример демонстрирует широкие возможности элементарных микроформатов.

От элементарных к составным

Позвольте вашему воображению проявить себя, и вы легко сможете представить, как комбинирование элементарных микроформатов может дать более комплексные результаты.

Скажем, я захотела сделать поисковую службу, способную находить всё, что помечено тагом «кино», причём за это нечто положительно голосовали люди, считающиеся друзьями. Эта служба выдавала бы мне более точные и персонализированные результаты, нежели обычно. Бесспорно, что элементарные микроформаты – те самые закладные камни для создания более крепких социальных сетей, более точных результатов поиска, и более эффективного взаимодействия людей с сетью.

Примечание
Автор выражает благодарность Брайану Шуде, Райану Кингу, и Тантеку Челику за их помощь в изучении основных концепций, технологий и техник, связанных с микроформатами.

"
